DATE,TOTBKCR
1990-10-24,2659.202
1990-10-31,2660.7411
1990-11-07,2659.6328
1990-11-14,2661.8721
1990-11-21,2664.0023
1990-11-28,2660.2886
1990-12-05,2669.5659
1990-12-12,2674.3362
1990-12-19,2674.892
1990-12-26,2677.8502
1991-01-02,2664.3245
1991-01-09,2667.9152
1991-01-16,2669.5952
1991-01-23,2678.5614
1991-01-30,2671.1067
1991-02-06,2673.8825
1991-02-13,2677.9589
1991-02-20,2683.813
1991-02-27,2686.7709
1991-03-06,2689.4449
1991-03-13,2697.0512
1991-03-20,2700.3759
1991-03-27,2700.4429
1991-04-03,2699.9411
1991-04-10,2697.1702
1991-04-17,2696.9296
1991-04-24,2699.8051
1991-05-01,2705.0602
1991-05-08,2698.4774
1991-05-15,2702.6072
1991-05-22,2703.7806
1991-05-29,2705.4953
1991-06-05,2707.3622
1991-06-12,2712.3124
1991-06-19,2708.5198
1991-06-26,2718.2653
1991-07-03,2707.4867
1991-07-10,2714.4266
1991-07-17,2707.8349
1991-07-24,2711.9004
1991-07-31,2713.9544
1991-08-07,2709.6542
1991-08-14,2708.3121
1991-08-21,2712.1179
1991-08-28,2711.9103
1991-09-04,2715.5723
1991-09-11,2718.2365
1991-09-18,2723.6389
1991-09-25,2724.3805
1991-10-02,2728.6925
1991-10-09,2733.1441
1991-10-16,2740.2465
1991-10-23,2740.3799
1991-10-30,2742.2562
1991-11-06,2745.95
1991-11-13,2753.8907
1991-11-20,2753.4435
1991-11-27,2759.5653
1991-12-04,2759.1766
1991-12-11,2765.8493
1991-12-18,2768.4223
1991-12-25,2777.2806
1992-01-01,2774.1165
1992-01-08,2774.8835
1992-01-15,2774.8577
1992-01-22,2778.7085
1992-01-29,2780.8803
1992-02-05,2789.8452
1992-02-12,2781.4897
1992-02-19,2782.5448
1992-02-26,2780.4689
1992-03-04,2784.5514
1992-03-11,2786.4836
1992-03-18,2782.4241
1992-03-25,2792.7285
1992-04-01,2795.9024
1992-04-08,2791.1543
1992-04-15,2802.7985
1992-04-22,2794.9828
1992-04-29,2792.8432
1992-05-06,2801.3989
1992-05-13,2806.501
1992-05-20,2799.8598
1992-05-27,2800.3318
1992-06-03,2799.8447
1992-06-10,2804.7261
1992-06-17,2803.2752
1992-06-24,2808.6603
1992-07-01,2809.5825
1992-07-08,2809.2085
1992-07-15,2814.8638
1992-07-22,2816.0216
1992-07-29,2807.1801
1992-08-05,2819.393
1992-08-12,2820.1522
1992-08-19,2819.2989
1992-08-26,2823.2015
1992-09-02,2827.92
1992-09-09,2829.0094
1992-09-16,2831.4113
1992-09-23,2832.7518
1992-09-30,2843.4869
1992-10-07,2835.7231
1992-10-14,2840.337
1992-10-21,2838.4613
1992-10-28,2840.5779
1992-11-04,2842.4357
1992-11-11,2848.0802
1992-11-18,2844.7834
1992-11-25,2852.0208
1992-12-02,2854.0294
1992-12-09,2858.0912
1992-12-16,2856.928
1992-12-23,2862.1967
1992-12-30,2866.9452
1993-01-06,2859.8205
1993-01-13,2857.9913
1993-01-20,2859.4944
1993-01-27,2856.422
1993-02-03,2869.1796
1993-02-10,2866.8232
1993-02-17,2869.6176
1993-02-24,2869.7407
1993-03-03,2874.2035
1993-03-10,2876.0077
1993-03-17,2884.0203
1993-03-24,2883.416
1993-03-31,2891.5176
1993-04-07,2886.6014
1993-04-14,2888.9719
1993-04-21,2891.2041
1993-04-28,2899.0644
1993-05-05,2900.9686
1993-05-12,2907.6309
1993-05-19,2906.3107
1993-05-26,2911.3401
1993-06-02,2924.412
1993-06-09,2924.5405
1993-06-16,2924.2792
1993-06-23,2927.1663
1993-06-30,2940.5711
1993-07-07,2943.7524
1993-07-14,2940.2144
1993-07-21,2943.8627
1993-07-28,2943.741
1993-08-04,2957.8697
1993-08-11,2953.9686
1993-08-18,2954.0934
1993-08-25,2951.4155
1993-09-01,2953.1633
1993-09-08,2953.3662
1993-09-15,2964.1962
1993-09-22,2962.5802
1993-09-29,2963.9568
1993-10-06,2962.5641
1993-10-13,2965.2821
1993-10-20,2962.2571
1993-10-27,2962.1877
1993-11-03,2966.4478
1993-11-10,2976.4719
1993-11-17,2970.2223
1993-11-24,2973.3075
1993-12-01,2986.051
1993-12-08,2985.8877
1993-12-15,2993.9349
1993-12-22,2992.9937
1993-12-29,2996.8925
1994-01-05,3011.1439
1994-01-12,3012.019
1994-01-19,3005.9999
1994-01-26,2998.8448
1994-02-02,3002.3722
1994-02-09,3007.7727
1994-02-16,3007.8584
1994-02-23,3002.797
1994-03-02,3019.4983
1994-03-09,3026.9148
1994-03-16,3034.1845
1994-03-23,3043.3979
1994-03-30,3052.3163
1994-04-06,3055.5811
1994-04-13,3054.5841
1994-04-20,3060.0866
1994-04-27,3057.3714
1994-05-04,3055.1882
1994-05-11,3062.2449
1994-05-18,3059.2493
1994-05-25,3063.6704
1994-06-01,3066.8854
1994-06-08,3064.6071
1994-06-15,3079.2283
1994-06-22,3078.646
1994-06-29,3084.9599
1994-07-06,3096.0003
1994-07-13,3101.9267
1994-07-20,3105.4046
1994-07-27,3109.7281
1994-08-03,3103.7048
1994-08-10,3108.3828
1994-08-17,3115.2799
1994-08-24,3118.8851
1994-08-31,3127.5046
1994-09-07,3119.7769
1994-09-14,3129.9795
1994-09-21,3136.6613
1994-09-28,3131.8973
1994-10-05,3132.7298
1994-10-12,3136.4624
1994-10-19,3141.4025
1994-10-26,3141.8976
1994-11-02,3147.415
1994-11-09,3142.9401
1994-11-16,3153.8651
